"";"PR_GHI";"PR_GHI_pdf_percentage_above"
"328";43,27;99,9977972484096
"329";43,28;99,9977972484096
"330";43,29;99,9977972484096
"331";43,3;99,9977972484096
"332";43,31;99,9977972484096
"333";43,32;99,9977972484096
"334";43,33;99,9977972484096
"335";43,34;99,9977972484096
"336";43,35;99,9977972484096
"337";43,36;99,9977972484096
"338";43,37;99,9977972484096
"339";43,38;99,9977972484096
"340";43,39;99,9977972484096
"341";43,4;99,9977972484096
"342";43,41;99,9977972484096
"343";43,42;99,9977972484096
"344";43,43;99,9977972484096
"345";43,44;99,9977972484096
"346";43,45;99,9977972484096
"347";43,46;99,9977972484096
"348";43,47;99,9977972484096
"349";43,48;99,9977972484096
"350";43,49;99,9977972484096
"351";43,5;99,9977972484096
"352";43,51;99,9977972484096
"353";43,52;99,9977972484096
"354";43,53;99,9977972484096
"355";43,54;99,9977972484096
"356";43,55;99,9977972484096
"357";43,56;99,9977972484096
"358";43,57;99,9977972484096
"359";43,58;99,9977972484096
"360";43,59;99,9977972484096
"361";43,6;99,9977972484096
"362";43,61;99,9977972484096
"363";43,62;99,9977972484096
"364";43,63;99,9977972484096
"365";43,64;99,9977972484096
"366";43,65;99,9977972484096
"367";43,66;99,9977972484096
"368";43,67;99,9977972484096
"369";43,68;99,9977972484096
"370";43,69;99,9977972484096
"371";43,7;99,9977972484096
"372";43,71;99,9977972484096
"373";43,72;99,9977972484096
"374";43,73;99,9977972484096
"375";43,74;99,9977972484096
"376";43,75;99,9977972484096
"377";43,76;99,9977972484096
"378";43,77;99,9977972484096
"379";43,78;99,9977972484096
"380";43,79;99,9977972484096
"381";43,8;99,9977972484096
"382";43,81;99,9977972484096
"383";43,82;99,9977972484096
"384";43,83;99,9977972484096
"385";43,84;99,9977972484096
"386";43,85;99,9977972484096
"387";43,86;99,9977972484096
"388";43,87;99,9977972484096
"389";43,88;99,9977972484096
"390";43,89;99,9977972484096
"391";43,9;99,9977972484096
"392";43,91;99,9977972484096
"393";43,92;99,9977972484096
"394";43,93;99,9977972484096
"395";43,94;99,9977972484096
"396";43,95;99,9977972484096
"397";43,96;99,9977972484096
"398";43,97;99,9977972484096
"399";43,98;99,9977972484096
"400";43,99;99,9977972484096
"401";44;99,9977972484096
"402";44,01;99,9977972484096
"403";44,02;99,9977972484096
"404";44,03;99,9977972484096
"405";44,04;99,9977972484096
"406";44,05;99,9977972484096
"407";44,06;99,9977972484096
"408";44,07;99,9977972484096
"409";44,08;99,9977972484096
"410";44,09;99,9977972484096
"411";44,1;99,9977972484096
"412";44,11;99,9977972484096
"413";44,12;99,9977972484096
"414";44,13;99,9977972484096
"415";44,14;99,9977972484096
"416";44,15;99,9977972484096
"417";44,16;99,9977972484096
"418";44,17;99,9977972484096
"419";44,18;99,9977972484096
"420";44,19;99,9977972484096
"421";44,2;99,9977972484096
"422";44,21;99,9977972484096
"423";44,22;99,9977972484096
"424";44,23;99,9977972484096
"425";44,24;99,9977972484096
"426";44,25;99,9977972484096
"427";44,26;99,9977972484096
"428";44,27;99,9977972484096
"429";44,28;99,9977972484096
"430";44,29;99,9977972484096
"431";44,3;99,9977972484096
"432";44,31;99,9977972484096
"433";44,32;99,9977972484096
"434";44,33;99,9977972484096
"435";44,34;99,9977972484096
"436";44,35;99,9977972484096
"437";44,36;99,9977972484096
"438";44,37;99,9977972484096
"439";44,38;99,9977972484096
"440";44,39;99,9977972484096
"441";44,4;99,9977972484096
"442";44,41;99,9977972484096
"443";44,42;99,9977972484096
"444";44,43;99,9977972484096
"445";44,44;99,9977972484096
"446";44,45;99,9977972484096
"447";44,46;99,9977972484096
"448";44,47;99,9977972484096
"449";44,48;99,9977972484096
"450";44,49;99,9977972484096
"451";44,5;99,9977972484096
"452";44,51;99,9977972484096
"453";44,52;99,9977972484096
"454";44,53;99,9977972484096
"455";44,54;99,9977972484096
"456";44,55;99,9977972484096
"457";44,56;99,9977972484096
"458";44,57;99,9977972484096
"459";44,58;99,9977972484096
"460";44,59;99,9977972484096
"461";44,6;99,9977972484096
"462";44,61;99,9977972484096
"463";44,62;99,9977972484096
"464";44,63;99,9977972484096
"465";44,64;99,9977972484096
"466";44,65;99,9977972484096
"467";44,66;99,9977972484096
"468";44,67;99,9977972484096
"469";44,68;99,9977972484096
"470";44,69;99,9977972484096
"471";44,7;99,9977972484096
"472";44,71;99,9977972484096
"473";44,72;99,9977972484096
"474";44,73;99,9977972484096
"475";44,74;99,9977972484096
"476";44,75;99,9977972484096
"477";44,76;99,9977972484096
"478";44,77;99,9977972484096
"479";44,78;99,9977972484096
"480";44,79;99,9977972484096
"481";44,8;99,9977972484096
"482";44,81;99,9977972484096
"483";44,82;99,9977972484096
"484";44,83;99,9977972484096
"485";44,84;99,9977972484096
"486";44,85;99,9977972484096
"487";44,86;99,9977972484096
"488";44,87;99,9977972484096
"489";44,88;99,9977972484096
"490";44,89;99,9977972484096
"491";44,9;99,9977972484096
"492";44,91;99,9977972484096
"493";44,92;99,9977972484096
